brand,category,condition,description,posted,price,seller_name,shipping,sold
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,Rotten School RL Stine hardcover. Will be shipped Media Mail,06/06/19,$5,HMC,Free | from Nebraska,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,Huge bundle of children’s books. All paper back. In good used condition. Perfect for a teacher. Class room. Or your own child’s library. Will mail same or next day.,06/04/19,$12,$$4Disney,$11.00 | 2+ days | from Virginia,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Includes two Parent Bookshelf Books.  When My Child Won’t Do As I say, My Child Loses Control.  Like new",06/04/19,$5,MomSquad,Free | 3+ days | from New York,SOLD
Reserved,"Other,Books,Children's books,Reserved Children's Books",Good,"Reserved book Bundle
7 books
Free shipping. Media mail",06/04/19,$12,This and That shop,Free | from Indiana,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Lot of 10 Different Halloween Books 
Good Condition 
Great for Beginning Readers, Kindergarten, 1st and 2nd Graders. 
Great Deal!!! FREE SHIPPING!!!
Please Remember these Books are Used Books and are not sparking New 
Titles Are in Pictures 
Please N",06/04/19,$12,TaraMae1981,Free | from Florida,SOLD
Eric Carle,"Other,Books,Children's books,Eric Carle Children's Books",Good,"Includes 3 Eric Carle Books (Roosters Off to See the World, Pancakes Pancakes , and Walter the Baker) softcover.  Good condition",06/04/19,$8,MomSquad,Free | 3+ days | from New York,SOLD
ABRAMS,"Other,Books,Children's books,ABRAMS Children's Books",Good,"GUC Chapter Book Bundle. Lot of 2 books.
Diary of a Wimpy Kid by Jeff Kinney. A novel in cartoons. 
The Last Straw (softcover).
The Ugly Truth (hardcover).  
FREE shipping (media mail). Discounts on multiple purchases",06/04/19,$7,This and That shop,Free | from Indiana,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",New,10 new dr. Seuss books,06/04/19,$15,Jphoto,$4.25 | 3+ days | from Florida,SOLD
Reserved,"Other,Books,Children's books,Reserved Children's Books",Good,"GUC Diary Of Wimpy Kid Book Bundle 
3 books",06/04/19,$8,This and That shop,Free | from Indiana,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,"Excellent condition these are in. Great popular fun titles for you to read to your children. Mine have outgrown these and would like to pass them on to a new family. Will be shipped via usps media mail
Titles

*    Pig the Winnner
*    Pig the Pug",06/04/19,$8,Hidden Treasures,Free | from Colorado,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,Disney’s Haunted Mansion Book And CD. Like new.,06/04/19,$5,isaboopboop,$4.25 | 2+ days | from California,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,An I can read book level two paperback Scholastic book (Bin E),08/01/18,$5,Winston&Zoey,Free | from Arizona,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,"Hallmark My Grandpa and Me Recordable Book. New, never used.",06/04/19,$12,megwright,Free | 3+ days | from Ohio,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",New,"Thomas and Friends CD and Book set. Never opened, brand new. If you have a Thomas fan, this will be a hit. Read by Ringo Starr.",08/01/18,$5,Jen Den,$4.25 | 2+ days | from California,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",New,Recordable storybook. “You’re a gift to our Family”. These books make an excellent gift. Never used or recorded.,08/01/18,$14,Mariahb2014,Free | from Alabama,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,"Peter Pan See, Hear and Read Book

Nice condition vintage Disney peter pan picture book with record. The record has no scratches or dents. The book is in nice condition.No smell to it LOL",08/04/18,$5,JenAn,$4.25 | 3+ days | from Connecticut,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"These books are in good condition signs of wear. Clifford and the Grouchy Neighbors needs a staple to keep the cover on. Feel free to ask any questions :) 
Clifford shares (hard cover) 
Clifford goes to dog school
Cliffords spring clean
Clifford’s ha",08/06/18,$18,shorstman25,$9.80 | 3+ days | from Illinois,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"11 Children's Books
Level 1 Reading 
Books All in Good Shape Except My Daughter Wrote the Title of Each Book in Marker on the Cover/ No Marks are on the Inside Pages.  Also There Are a Few Stickers on The Front Covers
Comes From a Smoke and Pet Free ",08/07/18,$16,CSteagall24,Free | 2+ days | from Kentucky,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",New,"5 hardcover hardback Dr. Seuss books Brand New
Hop on Pop
Green eggs and ham
The cat in the hat
One fish two fish red fish blue fish
Fox in socks 
Also have THE LORAX on my listings if interested I can add in/combine
* I will also include 2 FREE chil",08/12/18,$19,Nikole Saputo,$13.00 | 2+ days | from California,SOLD
Sesame Street,"Other,Books,Children's books,Sesame Street Children's Books",Good,"In excellent vintage condition, The Sesame Street Library almost complete collection (just lacks #15), the whole alphabet up to the letter 14. These are fantastic books filled with stories and teaching surrounding the letters and numbers. I still rem",08/13/18,$38,fox & dot vintage,Free | from Michigan,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Fair,19 children’s  “The Bailey School Kids.”...some are duplicates,08/13/18,$12,The Farmers Daughter,$6.50 | 3+ days | from Kansas,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",Like new,Books 1 2 3 to be read with interactive bear.,08/18/18,$10,Shanna Ortiz,$4.25 | 2+ days | from California,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Disney Winnie the Pooh books very nice condition. Check out my lots for many more dvds and books.,08/16/18,$10,Paradiseisland,Free | from Florida,SOLD
Random House,"Other,Books,Children's books,Random House Children's Books",New,"This bundle includes five Dr. Seuss classics: 

“The Cat in the Hat” © 1986 

“One Fish Two Fish Red Fish Blue Fish” © 1988

“Green Eggs and Ham” © 1986 

“Fox on Socks” © 1993 

“Hop on Pop” © 1991
(50th Anniversary Edition) 

These books are all ha",08/19/18,$18,WheretheSidewalkEnds,Free | from Oregon,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",New,One in the Dr. Seuss beginner book series for kids,08/12/18,$6,Ernest Groves,Free | from New York,SOLD
Leap Frog,"Other,Books,Children's books,Leap Frog Children's Books",Like new,"Leapfrog Tag Book Bundle Of 7
Like new 

The little mermaid
Tangled
Kai-lan
Scooby-Doo 
Princess and the frog
Toy story 3
Beauty and the beast",08/20/18,$12,ashkicka,$6.50 | 3+ days | from Michigan,SOLD
Leap Frog,"Other,Books,Children's books,Leap Frog Children's Books",Like new,All in excellent condition shipping included,08/23/18,$25,Nina’s Toy Box,Free | 3+ days | from Louisiana,SOLD
Winnie The Pooh,"Other,Books,Children's books,Winnie The Pooh Children's Books",Good,"Winnie the Pooh: Lessons from the Hundred Acre Wood series. Books 2-10 in really good condition.
These are books that feature beloved characters from Winnie the Pooh and each book is focused on a specific lesson (sharing, saying thank you, telling th",08/28/18,$15,Pretty Girl Plus,Free | from Indiana,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Includes B,F,G,J,M,N,P,R,S,U,V,Z. All in good shape.",08/23/18,$12,dinna1966,Free | from Louisiana,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,"American girl doll book, “Happy Birthday Molly” A Springtime Story",08/29/18,$10,Songbird Artistry,Free | 8+ days | from Pennsylvania,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,Ones a pop up book! All from scholastic. My son gets all these books at the book fairs then never touches them!!! 8 in total in great condition!,08/20/18,$13,love2buy&sell,$6.50 | 3+ days | from Texas,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Set of 4 books 
Values to Grow by
The Good the bad the silly
The case of the lost temper
Three pirates and a duck
Good night, Duke",08/30/18,$12,twoarrowsbookclub,Free | from California,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,"Brand New with tags. 2 Disney Star Darlings Books.
Check my other listings also",08/26/18,$12,Mercara,Free | from Texas,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Huge Massive Lot of Geronimo Stilton Series Books

113 Books in all
More than $950 in retail

This lot weighs 55lbs

Includes 98 paperback books from Geronimo and Thea Stilton, Mouseford Academy, Creepella,Cave Mice, Hero Mice, Space Mice, Journey Th",08/30/18,$400,Stephanie D. Barbe,Free | 3+ days | from Virginia,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,3 new Dr Seuss books. We are apart of a book club and these came as duplicates. Never opened.,08/31/18,$7,MamaBue,$4.25 | 2+ days | from Oregon,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"One hundred favorite classic children’s stories on sixteen DVDs.  

DVDs and cases are in excellent, barely or never used condition.  Box has a few marks, but is otherwise in excellent used condition.  

Ideal for early childhood educators, preschool",09/04/18,$20,2dangerously,$6.50 | 3+ days | from Kentucky,SOLD
Multiples,"Other,Books,Children's books,Multiples Children's Books",Good,"77 picture books as we discussed. Both lots of 30 pic books , lot of 14 Dr.Seuss beginner readers and lot of 3 fav pic books.",09/05/18,$45,teachit32,Free | from New York,SOLD
Leap Frog,"Other,Books,Children's books,Leap Frog Children's Books",Good,Leap Frog Tag learning books. Lot of 20 books in good condition.  See pictures for titles.,09/03/18,$30,scsampson,$13.00 | 2+ days | from Maryland,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Like new,"Flat Stanley set of 6 books
Only Invisible Stanley was read.
The other books are brand NEW.
2nd pic tells what each story is about.
Free shipping",09/06/18,$10,DianeS,Free | from New Jersey,SOLD
Pokemon,"Other,Books,Children's books,Pokemon Children's Books",Good,Preowned. Some in better shape cosmetically than others.,09/06/18,$7,Dayon Leonard-Berry,Free | from Oklahoma,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Like new,"American Girl collection books
ADDY 1864 full set of 6 in case
NWOT not plastic sealed but new
Spine & foot bed of books tight and shows new and never opened fully!
Smoke free home",09/08/18,$28,5makesmesmile,Free | from Indiana,SOLD
Dr. Seuss,"Other,Books,Children's books,Dr. Seuss Children's Books",Good,"""The Cat in The Hat"" and ""Are You My Mother?"" 

These have been washed in sensitive detergent and air dried.",09/09/18,$11,mrsjack5in,Free | from Pennsylvania,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,Set of 4 coloring/water paint books from 1986/1987.  The coloring books first 1-2 pages have been colored but the rest of the pages are unused.  Water paint books have not been used at all. Ships quick!,09/09/18,$18,delorean3,Free | from Maryland,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Peppa Pig Paperback Books
Set of 5
*books do not include stickers",09/09/18,$12,twoarrowsbookclub,Free | from California,SOLD
American Girl,"Other,Books,Children's books,American Girl Children's Books",Good,"KIT 1934 An American Girl Collection Book Set- complete set of 6. Would of put under NWOT but some edges not perfect on box and 2 of books as shown in photos.  But none fully opened! 
Smoke free home",09/08/18,$19,5makesmesmile,Free | from Indiana,SOLD
Dalmation Press,"Other,Books,Children's books,Dalmation Press Children's Books",Like new,"The Story of Doctor Dolittle
The Call of the Wild
Peter Pan
The Adventures of Pinnochio",09/16/18,$9,Bleno70,Free | from Wisconsin,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,Four first scholastic prints of the goosebump books. Selling off my doubles as I am trying to collect them.,09/16/18,$6,AMS,$6.50 | 3+ days | from Michigan,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"5 books for one low price!  
2 “Ghosts of War,” and 3 “I Survived” novels. Good pre-read condition. 
Non-smoking home. Price includes shipping.",09/20/18,$10,DeCluttering I Am,Free | from Missouri,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"32 scholastic paperback books from the Rainbow Magic Fairies series. They are in good used condition. Some have more wear then others. This lot contains books from:

Jewel Fairies
Night Fairies
Pet Fairies
Fashion Fairies 
Princess Fairies 
Weather F",09/20/18,$19,Rachel Black,$9.80 | 3+ days | from Minnesota,SOLD
Mickey Mouse,"Other,Books,Children's books,Mickey Mouse Children's Books",Like new,"Excellent condition. Hardback 
3 books",09/24/18,$10,Wendy,Free | from North Carolina,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",New,"Brand new Hardback Books! 
If You Give a Moose a Muffin 
If You Take a Mouse to the Movies 
Purchased from Kohl’s as part of the Kohl’s Gives Back Program
Ages 3-7",09/25/18,$12,Brooke Michelle,Free | from Virginia,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Pinkalicious
Purplelicious
Goldicious
Books for kids
Great reading for pretend tea parties or to spark creativity.",09/26/18,$6,DianeS,$4.25 | 3+ days | from New Jersey,SOLD
Leap Frog,"Other,Books,Children's books,Leap Frog Children's Books",Good,"Leap Frog Hardcover 
Set of 4 books",09/29/18,$18,twoarrowsbookclub,Free | from California,SOLD
Shopkins,"Other,Books,Children's books,Shopkins Children's Books",Like new,"Large lot of Shopkins books and plush reading buddy kooky cookie.  The updated ultimate collectors guide,  - no marks.  In great condition.                                      Lights camera shopkins- stickers have been used and                      ",10/02/18,$6,Harris girls,$8.00 | 2+ days | from Minnesota,SOLD
HarperCollins Publishers,"Other,Books,Children's books,HarperCollins Publishers Children's Books",Good,"This bundle includes six Pete The Cat Beginner books by James Dean: 

“Too Cool For School” © 2015 

“Play Ball!” © 2013

“Pete at the Beach” © 2013

“Pete’s Big Lunch” © 2013

“Pete The Cat and the Bad Banana” © 2014

“Pete the Cat’s Train Trip” © 2",09/27/18,$15,WheretheSidewalkEnds,Free | from Oregon,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"13 Matt Christopher Baseball Books Boy

Please view pictures carefully. 

Some ex-library copies, most very good, some with more wear.  All in readable condition. Some maybe have name written in cover, etc.  

Price includes FREE Media Mail Shipping!",09/28/18,$35,aggiefarms,Free | from Texas,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,Brand New Winter's Song book with 2 plush snowballs. Smoke and Pet free home.,10/04/18,$15,Yvette Michaels,$8.00 | 2+ days | from New Jersey,SOLD
Hallmark,"Other,Books,Children's books,Hallmark Children's Books",Fair,"The Wit and Wisdom of Snoopy

Author	Charles M. Schulz			Publisher: 1967 	Hallmark	
Format:	Hardcover			Condition:	Very Good	
Other notes:	Crisp pages. Some have a a page crease or turn downs but still all readable! Tight binding. Some shelf wear on ",10/04/18,$9,lalato4,$4.25 | 3+ days | from Virginia,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Good,Wonderful condition.Check out my lots for many other lots DVDS and games. Bundle and save $$! Price includes shipping :),10/07/18,$8,Paradiseisland,Free | from Florida,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",New,"Brand new ""The Wonky Donkey"" book by Craig Smith. This book is hilarious and has been all over social media. Softcover.",10/08/18,$20,GoodasNew,Free | from South Carolina,SOLD
Sesame Street,"Other,Books,Children's books,Sesame Street Children's Books",Good,Level one step into reading book B is for Books (Bin K),10/09/18,$5,Winston&Zoey,Free | from Arizona,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Whatever after 1-5 and book 7 
Overall good condition 
Sarah mlynowski
Book 7 has the most wear shown in picture",10/11/18,$10,ashkicka,$6.50 | 3+ days | from Michigan,SOLD
Precious Moments,"Other,Books,Children's books,Precious Moments Children's Books",Good,Precious moments prayers for boys and girls,10/11/18,$7,life2resell,Free | 3+ days | from Washington,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,"Scholastic Children's Book Hello Ocean

Beautiful artwork!
Come spend a day at the beach! The ocean holds many treasures, if you know where to look for them. Tide pools glisten in the sun, waves whisper as a return to the sea, sand squishes coolly be",10/13/18,$5,WinkT,Free | from Florida,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",New,"Vintage Disney read along cassettes, books and carrying bag
BRAND NEW! 
• Double sided tapes
• carrying case 
•  5 books :
Includes these stories in 5 books and on 3 tapes. 
- Disney books: The jungle book, The Aristocats, Tarzan, The fox and the Hou",10/18/18,$16,BikiniTime,$8.00 | 2+ days | from California,SOLD
Scholastic,"Other,Books,Children's books,Scholastic Children's Books",Good,18 sight word stories books. Each book has about 8 pages. Good used condition.,10/15/18,$18,Yvette Michaels,Free | from New Jersey,SOLD
Disney,"Other,Books,Children's books,Disney Children's Books",Like new,2 disney kid books and 1 hulk spinner. Smoke free home. Free shipping!,10/12/18,$10,Monique-Jose Randolf,Free | from Florida,SOLD
